"1725942291-39","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Bloomington, IL","61.8%","67.8%"
"1725942291-40","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Bloomington, IN","50.7%","57.3%"
"1725942291-41","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Bloomsburg-Berwick, PA","54.1%","61.0%"
"1725942291-42","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Boise City, ID","57.8%","68.2%"
"1725942291-43","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Boston-Cambridge-Newton, MA-NH","68.1%","73.3%"
"1725942291-44","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Boulder, CO","78.5%","82.3%"
"1725942291-45","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Bowling Green, KY","53.2%","58.9%"
"1725942291-46","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Bremerton-Silverdale-Port Orchard, WA","61.4%","74.7%"
"1725942291-47","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Bridgeport-Stamford-Norwalk, CT","66.9%","73.2%"
"1725942291-48","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Brownsville-Harlingen, TX","40.4%","48.3%"
"1725942291-49","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Brunswick, GA","52.6%","64.8%"
"1725942291-50","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Buffalo-Cheektowaga, NY","59.0%","64.3%"
"1725942291-51","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Burlington, NC","60.8%","70.1%"
"1725942291-52","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Burlington-South Burlington, VT","63.3%","73.1%"
"1725942291-53","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","California-Lexington Park, MD","59.8%","66.6%"
"1725942291-54","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Canton-Massillon, OH","60.4%","65.5%"
"1725942291-55","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cape Coral-Fort Myers, FL","61.6%","69.9%"
"1725942291-56","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cape Girardeau, MO-IL","61.0%","65.2%"
"1725942291-57","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Carbondale-Marion, IL","57.1%","60.2%"
"1725942291-58","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Carson City, NV","63.0%","70.3%"
"1725942291-59","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Casper, WY","54.2%","58.8%"
"1725942291-60","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cedar Rapids, IA","69.5%","74.3%"
"1725942291-61","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Chambersburg-Waynesboro, PA","60.0%","68.6%"
"1725942291-62","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Champaign-Urbana, IL","59.4%","63.9%"
"1725942291-63","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Charleston, WV","50.7%","56.4%"
"1725942291-64","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Charleston-North Charleston, SC","55.7%","67.3%"
"1725942291-65","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Charlotte-Concord-Gastonia, NC-SC","63.7%","74.0%"
"1725942291-66","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Charlottesville, VA","67.9%","74.1%"
"1725942291-67","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Chattanooga, TN-GA","50.7%","60.8%"
"1725942291-68","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cheyenne, WY","54.5%","59.4%"
"1725942291-69","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Chicago-Naperville-Elgin, IL-IN-WI","61.3%","66.5%"
"1725942291-70","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Chico, CA","54.3%","61.7%"
"1725942291-71","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cincinnati, OH-KY-IN","64.8%","69.4%"
"1725942291-72","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Clarksville, TN-KY","42.9%","50.7%"
"1725942291-73","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cleveland, TN","49.4%","57.0%"
"1725942291-74","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cleveland-Elyria, OH","63.4%","67.2%"
"1725942291-75","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Coeur d'Alene, ID","56.8%","69.8%"
"1725942291-76","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","College Station-Bryan, TX","44.6%","53.4%"
"1725942291-77","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Colorado Springs, CO","64.4%","71.9%"
"1725942291-78","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Columbia, MO","61.9%","65.7%"
"1725942291-79","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Columbia, SC","56.6%","64.6%"
"1725942291-80","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Columbus, GA-AL","48.4%","54.9%"
"1725942291-81","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Columbus, IN","57.8%","65.1%"
"1725942291-82","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Columbus, OH","63.8%","69.1%"
"1725942291-83","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Corpus Christi, TX","42.0%","51.6%"
"1725942291-84","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Corvallis, OR","68.1%","71.1%"
"1725942291-85","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Crestview-Fort Walton Beach-Destin, FL","66.8%","75.4%"
"1725942291-86","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Cumberland, MD-WV","52.3%","55.7%"
"1725942291-87","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Dallas-Fort Worth-Arlington, TX","52.8%","64.0%"
"1725942291-88","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Dalton, GA","47.5%","56.6%"
"1725942291-89","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Danville, IL","51.9%","55.9%"
"1725942291-90","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Daphne-Fairhope-Foley, AL","59.2%","62.6%"
"1725942291-91","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Davenport-Moline-Rock Island, IA-IL","63.6%","67.7%"
"1725942291-92","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Dayton-Kettering, OH","64.3%","67.4%"
"1725942291-93","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Decatur, AL","56.9%","59.9%"
"1725942291-94","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Decatur, IL","58.1%","62.0%"
"1725942291-95","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Deltona-Daytona Beach-Ormond Beach, FL","63.3%","71.9%"
